category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Mobile Accessories,₹124,Onsmobs OTG Black OTG Cable,3.7,"(1,415)",50% off,₹248,1,2019-08-14 22:53:51.579761
Mobile Accessories,₹188,somapa EARBUDS 01 In The Ear Headphone Cushion,4.1,(247),52% off,₹399,0,2019-08-14 22:53:51.580756
Mobile Accessories,₹199,Flipkart SmartBuy Back Cover for Infinix S4,4.8,(4),73% off,₹749,1,2019-08-14 22:53:51.580756
Mobile Accessories,₹163,Mycos Back Cover for Mi Redmi Note 7 Pro,4.4,(37),79% off,₹799,1,2019-08-14 22:53:51.581759
Mobile Accessories,₹299,Bracevor Back Cover for Mi Redmi Note 4,4.2,"(3,681)",62% off,₹799,1,2019-08-14 22:53:51.582754
Mobile Accessories,₹299,Suprimus Back Cover for Samsung J7 Duo Ultra Slim Lightweight Hard Premium Matte Finish Original,3.8,(5),80% off,"₹1,499",0,2019-08-14 22:53:51.582754
Mobile Accessories,₹259,Unistuff Flip Cover for Motorola Moto One Power,4.3,(77),82% off,"₹1,499",1,2019-08-14 22:54:06.355335
Mobile Accessories,₹699,"Portronics UFO Home Charger, POR 343 Mobile Charger",4.2,"(3,908)",46% off,"₹1,299",1,2019-08-14 22:54:06.355335
Mobile Accessories,₹142,Flipkart SmartBuy Tempered Glass Guard for Mi Redmi Note 5 Pro,3.7,"(4,829)",79% off,₹699,1,2019-08-14 22:54:06.356367
Mobile Accessories,₹699,Winkel Back Cover for Samsung Galaxy S9,0,0,53% off,"₹1,499",1,2019-08-14 22:54:06.357363
Mobile Accessories,₹259,Flipkart SmartBuy Flip Cover for Mi Max 2,4.3,(7),74% off,₹999,1,2019-08-14 22:54:06.357363
Mobile Accessories,₹219,Spicesun Flip Cover for Oppo A5,4.1,(154),78% off,₹999,1,2019-08-14 22:54:06.358364
Mobile Accessories,₹259,Unistuff Back Cover for Oppo A5S,4.5,(37),82% off,"₹1,499",1,2019-08-14 22:54:06.358364
