category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Camera,"₹72,999",Canon EOS 80D DSLR Camera Body with Single Lens: EF-S 18-135 IS USM (16 GB SD Card),4.4,284 Ratings & 70 Reviews,30% off,"₹1,05,495",Effective Pixels: 24 MPSensor Type: CMOSWiFi Available1080p at 60p + Time-LapseProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:24.654389
Camera,"₹21,999",Canon EOS 3000D DSLR Camera Single Kit with 18-55 lens (16 GB Memory Card & Carry Case),4.4,"5,218 Ratings & 834 Reviews",25% off,"₹29,495","Self-Timer | Type C and Mini HDMI |, 9 Auto Focus Points | 35x Optical Zoom., Effective Pixels: 18 MP APS-C CMOS sensor-which is 25 times larger than a typical Smartphone sensor., WiFi | Full HD | Video Recording at 1080 p on 30fps.Effective Pixels: 18 MPSensor Type: CMOSWiFi AvailableFull HDProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.",1,2019-08-14 21:17:24.659549
Camera,"₹48,990",Canon M50 Mirrorless Camera Body with Single Lens EF-M 15-45 mm IS STM,4.6,239 Ratings & 41 Reviews,14% off,"₹56,995",Effective Pixels: 24.1 MPSensor Type: CMOSWiFi Available1920 x 1080Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:24.661547
Camera,"₹33,000",Canon EOS 1500D DSLR Camera Body Dual kit with EF-S 18-55 IS II + 55-250 IS II lens (16 GB Memory Card...,4.5,"3,212 Ratings & 540 Reviews",23% off,"₹43,295",Effective Pixels: 24.1 MPSensor Type: CMOSWiFi Available1080p recording at 30pProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:24.663640
Camera,"₹3,419",Noise Play Sports and Action Camera,3.7,"4,921 Ratings & 868 Reviews",51% off,"₹6,999",Effective Pixels: 16 MPUltra HD1 Year Warranty,1,2019-08-14 21:17:24.665018
Camera,"₹79,999",Nikon D7500 DSLR Camera Body with 18-140 mm Lens,4.5,90 Ratings & 21 Reviews,17% off,"₹96,950",Effective Pixels: 20.9 MPSensor Type: CMOSWiFi Available4K2 Years Domestic Warranty,1,2019-08-14 21:17:24.666054
Camera,"₹38,999",Nikon D5600 (With Basic Accessory Kit) DSLR Camera Body with Single Lens: AF-P DX Nikkor 18-55 MM F/3....,4.6,"3,330 Ratings & 596 Reviews",17% off,"₹47,403",Effective Pixels: 24.2 MPSensor Type: CMOS1080p recording at 30p2 Years Domestic Warranty,1,2019-08-14 21:17:24.668149
Camera,₹890,Spring Jump 1080P Sports Action Camera Waterproof & Wide Angle Sports and Action Camera,2.9,103 Ratings & 15 Reviews,77% off,"₹3,999",Effective Pixels: 12 MPHDCarry on Warranty,1,2019-08-14 21:17:24.668149
Camera,"₹17,999",Sony HDR-CX405 Camcorder Camera,4.1,469 Ratings & 80 Reviews,0,0,Effective Pixels: 9.2 MPDigital Zoom: 350xSensor Type: CMOS | LCD Size: 2.7 inchMax Shutter Speed: 1/10000Auto Focus1 Years Sony India Warranty and Free Transit insurance,1,2019-08-14 21:17:33.753729
Camera,"₹52,999",Nikon D7200 DSLR Camera (Body only) (16 GB SD Card + Camera Bag),4.5,213 Ratings & 38 Reviews,17% off,"₹64,450",Effective Pixels: 24.72 MPSensor Type: CMOSWiFi AvailableFULL HDREPAIR,1,2019-08-14 21:17:33.757721
