category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Desktop PCs,"₹84,990",Asus ROG (GL10CS-IN032T) Full Tower with Core i7 (9700K) 8 GB RAM 256 GB SSD Capacity 6 GB   Graphics Memory,0,0,25% off,"₹1,13,990",1,2019-08-14 11:57:57.836990
Desktop PCs,"₹6,999",ZOONIS IC2D with core 2 duo 4 GB RAM 500 GB Hard Disk 512MB GB   Graphics Memory,3.7,(90),46% off,"₹12,999",0,2019-08-14 11:57:57.841129
Desktop PCs,"₹13,999",ZOONIS ASSEMBLED MINI PC with Core i3-530 4 GB RAM 500 GB Hard Disk 120 GB SSD Capacity 1.5 GB   Graphics Memory,1.7,(3),30% off,"₹19,999",0,2019-08-14 11:57:57.842972
Desktop PCs,"₹6,399",ZOONIS PC with Core 2 Duo 4 GB RAM 160 GB Hard Disk,3.5,(335),28% off,"₹8,999",0,2019-08-14 11:57:57.844004
Desktop PCs,"₹19,990",HP - (APU Dual Core E2/4 GB DDR4/1 TB/Windows 10 Home),4.1,(79),29% off,"₹28,501",1,2019-08-14 11:57:57.844004
Desktop PCs,"₹6,999",Foxin Assembled CPU With WIFI with Dual Core Processor 4 GB RAM 500 GB Hard Disk 0.512 GB   Graphics Memory,3.3,(77),58% off,"₹16,990",0,2019-08-14 11:57:57.844004
Desktop PCs,"₹9,999",Foxin Axe Red/Blue 1102 1TB with Core2Duo 4 GB RAM 1 TB Hard Disk .5 GB   Graphics Memory,2.6,(17),56% off,"₹22,990",0,2019-08-14 11:57:57.848126
Desktop PCs,"₹8,790",Wintech WTPC14 with E-8400 4 GB RAM 1 TB Hard Disk .656 GB   Graphics Memory,3.3,(9),53% off,"₹18,999",0,2019-08-14 11:57:57.848126
Desktop PCs,"₹69,990",Asus ROG (GL10CS-IN044T) Full Tower with Core i5 (9400) 8 GB RAM 256 GB SSD Capacity 6 GB   Graphics Memory,0,0,26% off,"₹94,990",1,2019-08-14 11:57:57.848126
Desktop PCs,"₹36,990",Lenovo - (Core i3 (6th Gen)/4 GB DDR4/1 TB/Windows 10 Home),2.7,(3),5% off,"₹38,990",0,2019-08-14 11:57:57.852191
Desktop PCs,"₹12,490",Wintech - (Core 2 Duo/4 GB DDR2/500 GB/Windows 7 Ultimate/4 GB),3.4,(17),43% off,"₹21,990",0,2019-08-14 11:58:07.323723
Desktop PCs,"₹5,975",iball I945C Mid Tower with Core 2 Duo 2 GB RAM 250 GB Hard Disk shared with Ram GB   Graphics Memory,0,0,62% off,"₹15,999",0,2019-08-14 11:58:07.323723
Desktop PCs,"₹22,990",Asus S340MC-0G5400066T Full Tower with Pentium Dual Core (Gold G5400) 4 GB RAM 1 TB Hard Disk,0,0,23% off,"₹29,990",1,2019-08-14 11:58:07.323723
Desktop PCs,"₹10,999",ZOONIS ZI3H500 with Intel Core i3 530 4 GB RAM 500 GB Hard Disk 1.5 GB   Graphics Memory,3.6,(40),35% off,"₹16,999",0,2019-08-14 11:58:07.328770
Desktop PCs,"₹14,999",zoonis I5 1ST GEN Ultra Tower with 630 8 GB RAM 1 TB Hard Disk 1.5 GB   Graphics Memory,3.7,(23),44% off,"₹26,999",0,2019-08-14 11:58:07.329767
Desktop PCs,"₹15,990",RDP DC301 with Core i3 (4030U) 4 GB RAM 500 GB Hard Disk,3.7,(92),11% off,"₹17,999",1,2019-08-14 11:58:07.330764
Desktop PCs,"₹41,990",HP - (Core i3/4 GB DDR4/1 TB/Windows 10 Home),0,0,13% off,"₹48,713",1,2019-08-14 11:58:07.330764
Desktop PCs,"₹12,499",SYNTRONIC S53812A23 with Core i3 2100 4 GB RAM 500 GB Hard Disk,0,0,16% off,"₹14,999",0,2019-08-14 11:58:07.330764
Desktop PCs,"₹14,999",iBall Baby Ultra Slim i3/500/4 Full Tower with Core i3 4 GB RAM 500 GB Hard Disk 1 GB   Graphics Memory,4.1,(10),50% off,"₹29,999",0,2019-08-14 11:58:07.335520
Desktop PCs,"₹15,999",iBall Ultra Slim C2D/16 Ultra Tower with Core2Duo 8 GB RAM 1 TB Hard Disk .5 GB   Graphics Memory,0,0,51% off,"₹32,999",0,2019-08-14 11:58:07.336518
Desktop PCs,"₹5,800",Electrobot Tower PC Assembled Computer with G31 Motherboard with Intel Core Full Tower with Core 2 Duo 4 GB RAM 320 GB Hard Disk,1.5,(4),10% off,"₹6,500",0,2019-08-14 11:58:07.336518
Desktop PCs,"₹12,000",Electrobot EBH55 Full Tower with Intel Core i3-530 4 GB RAM 500 GB Hard Disk 120 GB SSD Capacity,0,0,52% off,"₹25,000",0,2019-08-14 11:58:07.336518
Desktop PCs,"₹10,390",wintech - (Core 2 Duo/4 GB DDR2/500 GB/Windows 7 Ultimate),3.1,(14),48% off,"₹19,990",0,2019-08-14 11:58:07.340570
Desktop PCs,"₹21,990",HP - (Celeron Dual Core/4 GB DDR3/1 TB/Free DOS),4.2,(76),19% off,"₹27,408",1,2019-08-14 11:58:07.344566
Desktop PCs,"₹23,999",SYNTRONIC S53812A7 with Core i5 3570 8 GB RAM 2 TB Hard Disk 2 GB   Graphics Memory,0,0,7% off,"₹25,999",1,2019-08-14 11:58:07.345062
Desktop PCs,"₹22,499",Syntronic S53812 Full Tower with Core i5 (3450) 8 GB RAM 1 TB Hard Disk 2 GB   Graphics Memory,0,0,16% off,"₹26,999",1,2019-08-14 11:58:07.346059
Desktop PCs,"₹1,39,900",Apple - (Core i5 (7th Gen)/8 GB DDR4/1 TB/Mac OS X Sierra/4 GB),4,(4),0,0,0,2019-08-14 11:58:07.346059
Desktop PCs,"₹9,840",Iball Piano 135 Mid Tower with Core2Duo 4 GB RAM 500 GB Hard Disk .5 GB   Graphics Memory,2.7,(3),45% off,"₹17,999",0,2019-08-14 11:58:07.350311
Desktop PCs,"₹6,075",Foxin Axe Red/Blue 1102 500 with Core2Duo 2 GB RAM 500 GB Hard Disk .256 GB   Graphics Memory,3.5,(15),62% off,"₹15,990",0,2019-08-14 11:58:07.351308
Desktop PCs,"₹27,088",HP - (Celeron Dual Core/4 GB DDR4/1 TB/Windows 10 Home),4.4,(21),8% off,"₹29,479",0,2019-08-14 11:58:07.352305
Desktop PCs,"₹22,999",DGCAM PUBG GAMING BUDGET PC 01 Microtower with i5 8 GB RAM 1 TB Hard Disk 128 GB SSD Capacity 2 GB   Graphics Memory,0,0,48% off,"₹45,000",0,2019-08-14 11:58:07.353303
Desktop PCs,"₹10,600","Gigabyte GIG-BRIX - Windows 10, intel, N2807 Quadcore, 0 GB Graphics Card, DDR3, hdd hdd Mini PC",0,0,33% off,"₹15,999",0,2019-08-14 11:58:07.353303
Desktop PCs,"₹12,499",iBall Piano 135 /1T/4G Mid Tower with Core2Duo 4 GB RAM 1 TB Hard Disk .5 GB   Graphics Memory,0,0,45% off,"₹22,999",0,2019-08-14 11:58:07.353303
Desktop PCs,"₹6,088",Punta Assembled Vintage Mini Tower with WIFI And Dual Core 2 GB RAM 320 GB Hard Disk .5 GB   Graphics Memory,3.4,(47),44% off,"₹11,000",0,2019-08-14 11:58:07.357583
Desktop PCs,"₹9,777",Punta - (Pentium Dual Core/2 GB DDR2/320 GB/Free DOS/512 MB),3.5,(73),47% off,"₹18,647",0,2019-08-14 11:58:07.358580
Desktop PCs,"₹1,700","Thinvent Micro 2 2018 Zero Client - Linux, ARM, arm_dual_core_cortex_a9_omap_4, 512 MB ddr3_sdram, 4 GB FLASH 512 Mini PC",4.8,(5),52% off,"₹3,599",0,2019-08-14 11:58:07.359577
Desktop PCs,"₹41,800",Lenovo - (Core i3 (6th Gen)/4 GB DDR4/1 TB/Free DOS),3.9,(22),7% off,"₹45,000",0,2019-08-14 11:58:07.359577
Desktop PCs,"₹42,990",Dell - (Core i3/4 GB DDR4/1 TB/Windows 10 Home),0,0,14% off,"₹49,990",0,2019-08-14 11:58:07.363615
Desktop PCs,"₹35,990",Asus - (Core i3/4 GB DDR4/1 TB/Windows 10 Home),4.2,(17),8% off,"₹39,192",1,2019-08-14 11:58:07.363615
Desktop PCs,"₹5,480",PUNTA 4344 Mini Tower with Core2Dual 2 GB RAM 320 GB Hard Disk,0,0,75% off,"₹21,999",0,2019-08-14 11:58:07.367835
Desktop PCs,"₹28,990",Foxin FC-6605 Gaming Mid Tower with Core i5 8 GB RAM 2 TB Hard Disk 1.5 GB   Graphics Memory,0,0,27% off,"₹39,990",0,2019-08-14 11:58:07.368971
Desktop PCs,"₹44,990",Lenovo - (Core i3 (7th Gen)/4 GB DDR4/1 TB/Windows 10 Home),3.4,(5),4% off,"₹47,000",0,2019-08-14 11:58:07.369968
