category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Mobile,"₹3,399",Nokia 3310 DS,3.7,"19,824 Ratings & 2,500 Reviews",5% off,"₹3,599",16 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display2MP Rear Camera1200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,0,2019-08-14 22:38:06.043928
Mobile,"₹9,999","Redmi Note 7S (Onyx Black, 32 GB)",4.4,"1,12,982 Ratings & 10,629 Reviews",16% off,"₹11,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.044927
Mobile,"₹14,990","Vivo Z1Pro (Sonic Blue, 64 GB)",4.5,"63,855 Ratings & 7,388 Reviews",6% off,"₹15,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) FHD+ Display16MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryQualcomm Snapdragon 712 AIE Octa Core 2.3GHz ProcessorTriple Card SlotFast ChargingBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.046884
Mobile,"₹13,999","Redmi Note 7 Pro (Space Black, 64 GB)",4.5,"3,57,589 Ratings & 33,856 Reviews",12% off,"₹15,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.047919
Mobile,"₹9,999","Redmi Note 7S (Sapphire Blue, 32 GB)",4.4,"1,12,982 Ratings & 10,629 Reviews",16% off,"₹11,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.048917
Mobile,"₹17,990","Vivo Z1Pro (Sonic Blue, 128 GB)",4.5,"25,350 Ratings & 3,034 Reviews",14% off,"₹20,990",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) FHD+ Display16MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryQualcomm Snapdragon 712 AIE Octa Core 2.3GHz ProcessorTriple Card SlotFast ChargingBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.051871
Mobile,₹999,Niamia Cad V,3.9,8 Ratings & 0 Reviews,41% off,"₹1,699",32 MB RAM | 32 MB ROM |4.57 cm (1.8 inch) Display0.08MP Rear Camera1000 mAh Battery10 DAYS REPLACEMENT WARRANTY,0,2019-08-14 22:38:06.054863
Mobile,"₹9,490","Samsung Galaxy J6 (Blue, 64 GB)",4.5,"29,681 Ratings & 1,822 Reviews",26% off,"₹12,900",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera | 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.056896
Mobile,"₹9,490","Samsung Galaxy J6 (Black, 64 GB)",4.5,"29,681 Ratings & 1,822 Reviews",26% off,"₹12,900",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera | 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.059885
Mobile,"₹7,999","Realme 3i (Diamond Red, 32 GB)",4.5,"42,316 Ratings & 4,928 Reviews",11% off,"₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 13MP Front Camera4230 mAh BatteryMediaTek Helio P60 Octa Core 2.0 GHz ProcessorTriple Slots (Dual SIM + Memory Card)Fingerprint Sensor and Face UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.062880
Mobile,₹699,GreenBerry Play,0,0,22% off,₹899,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB4.57 cm (1.8 inch) Display2MP Rear Camera1000 mAh Battery1 Year,0,2019-08-14 22:38:06.065868
Mobile,"₹16,999","Realme X (Space Blue, 128 GB)",4.6,"27,900 Ratings & 4,401 Reviews",5% off,"₹17,999",4 GB RAM | 128 GB ROM |16.59 cm (6.53 inch) FHD+ Display48MP + 5MP | 16MP Front Camera3765 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0In-display Fingerprint SensorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.349901
Mobile,"₹10,499","Realme 3 (Radiant Blue, 64 GB)",4.4,"1,20,752 Ratings & 12,129 Reviews",19% off,"₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP + 2MP | 13MP Front Camera4230 mAh BatteryMediaTek Helio P70 Octa Core 2.1 GHz AI ProcessorTriple Slots (Dual SIM + Memory Card)Fingerprint Sensor and Face UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.351896
Mobile,"₹19,999","Realme X (Polar White, 128 GB)",4.6,"11,351 Ratings & 1,790 Reviews",4% off,"₹20,999",8 GB RAM | 128 GB ROM |16.59 cm (6.53 inch) FHD+ Display48MP + 5MP | 16MP Front Camera3765 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0In-display Fingerprint SensorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.352892
Mobile,"₹7,999","Asus Zenfone Max Pro M1 (Grey, 32 GB)",4.3,"2,17,024 Ratings & 33,336 Reviews",27% off,"₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 2 TB15.21 cm (5.99 inch) Full HD+ Display13MP + 5MP | 8MP Front Camera5000 mAh BatteryQualcomm Snapdragon 636 Octa Core ProcessorBrand Warranty of 1 Year Available for Handset and 6 Months for Accessories,1,2019-08-14 22:38:14.353888
Mobile,"₹20,999","Realme X (Super Polar White, 128 GB)",4.6,"11,351 Ratings & 1,790 Reviews",0,0,8 GB RAM | 128 GB ROM |16.59 cm (6.53 inch) FHD+ Display48MP + 5MP | 16MP Front Camera3765 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0In-display Fingerprint Sensor and Face UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.354886
Mobile,₹699,GreenBerry 3310,3.1,7 Ratings & 0 Reviews,53% off,"₹1,499",32 MB RAM | 32 MB ROM |4.57 cm (1.8 inch) NA Display2MP Rear Camera | 0MP Front Camera1000 mAh Battery6 Months,0,2019-08-14 22:38:14.356883
Mobile,"₹7,999","Asus ZenFone Max M2 (Black, 32 GB)",4.3,"71,269 Ratings & 8,905 Reviews",38% off,"₹12,999",3 GB RAM | 32 GB ROM | Expandable Upto 2 TB15.9 cm (6.26 inch) HD+ Display13MP + 2MP | 8MP Front Camera4000 mAh BatteryQualcomm Snapdragon 632 Octa Core ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.357879
Mobile,"₹15,999","Realme 3 Pro (Lightning Purple, 128 GB)",4.5,"74,098 Ratings & 9,295 Reviews",20% off,"₹19,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.358875
Mobile,"₹14,999","Realme 3 Pro (Lightning Purple, 64 GB)",4.5,"74,098 Ratings & 9,295 Reviews",16% off,"₹17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.360871
Mobile,"₹3,399",Nokia 3310 DS,3.7,"19,824 Ratings & 2,500 Reviews",5% off,"₹3,599",16 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display2MP Rear Camera1200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,0,2019-08-14 22:38:14.361868
Mobile,"₹12,999","Realme 3 Pro (Lightning Purple, 64 GB)",4.5,"1,67,825 Ratings & 21,886 Reviews",18% off,"₹15,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display16MP + 5MP | 25MP Front Camera4045 mAh BatteryQualcomm Snapdragon 710 Octa Core 2.2 GHz AIE ProcessorVooC Flash Charge 3.0Dual Nano SIM Slot and Memory Card SlotBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:14.362865
